Date/Time,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),Pumps:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ElectricityNet:Facility [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly) 
 12/15  24:00:00,0,0,4597009.177,0,8652.895022,29158128,55621997.01,92642462.35,0,7853684.444,0,92642462.35,92642462.35,0
 12/16  01:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/16  02:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/16  03:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/16  04:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/16  05:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/16  06:00:00,0,0,4597009.177,0,0,18840654,34480954.32,211757396,134039386.4,8687704.031,149748083.6,211757396,211757396,15708697.23
 12/16  07:00:00,0,34848306.95,39445316.13,34848306.95,8652.895022,29158128,55621997.01,231376297.4,115707462.7,15707368.89,130880150.6,231376297.4,231376297.4,15172687.89
 12/16  08:00:00,0,18311174.84,22908184.02,18311174.84,8652.895022,4859688,74305920.72,182781283.8,72726965.43,15707368.89,87899653.33,182781283.8,182781283.8,15172687.89
 12/16  09:00:00,3313423.855,0,4597009.177,0,8652.895022,0,85875929.5,186087665.2,34534605.09,47122106.66,53080976.1,186087665.2,186087665.2,15232947.15
 12/16  10:00:00,34541020.65,0,4597009.177,0,8652.895022,0,94050146.13,213920132,20728761.03,47122106.66,72739226.3,213920132,213920132,17469444.62
 12/16  11:00:00,65304279.1,0,4597009.177,0,8652.895022,0,90546910.43,235354167.6,11344098.79,47122106.66,97676497.57,235354167.6,235354167.6,21028119.68
 12/16  12:00:00,80785410.11,0,4597009.177,0,8652.895022,0,98721127.05,256220336.3,5295558.708,47122106.66,110368449.7,256220336.3,256220336.3,24287480.85
 12/16  13:00:00,85051213.34,0,4597009.177,0,8652.895022,0,73191897.25,215439117,8318321.387,23561053.33,118677513.5,215439117,215439117,25307978.79
 12/16  14:00:00,86421608.26,0,4597009.177,0,8652.895022,0,63849935.39,204187269,5001961.211,23561053.33,116767627.4,204187269,204187269,25344057.94
 12/16  15:00:00,85734786.02,0,4597009.177,0,8652.895022,0,58011209.24,196011249.4,4500466.782,23561053.33,114430334,196011249.4,196011249.4,24195081.17
 12/16  16:00:00,84257994.27,0,4597009.177,0,8652.895022,0,53340228.31,187929004.9,4656006.055,23561053.33,111019070.4,187929004.9,187929004.9,22105070.06
 12/16  17:00:00,74261239.64,0,4597009.177,0,8652.895022,0,54507973.54,178368900.6,8599117.793,23561053.33,100291220.9,178368900.6,178368900.6,17430863.43
 12/16  18:00:00,58358398.56,0,4597009.177,0,8652.895022,24298440,48722969.15,154414832.9,0,7853684.444,73531086.46,154414832.9,154414832.9,15172687.89
 12/16  19:00:00,0,0,4597009.177,0,8652.895022,29158128,41716497.76,78736963.1,0,7853684.444,0,78736963.1,78736963.1,0
 12/16  20:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/16  21:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/16  22:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/16  23:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/16  24:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 12/17  01:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/17  02:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/17  03:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/17  04:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/17  05:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/17  06:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 12/17  07:00:00,0,0,4597009.177,0,8652.895022,29158128,41716497.76,78736963.1,0,7853684.444,0,78736963.1,78736963.1,0
 12/17  08:00:00,0,0,4597009.177,0,8652.895022,4859688,41716497.76,54438523.1,0,7853684.444,0,54438523.1,54438523.1,0
 12/17  09:00:00,0,0,4597009.177,0,8652.895022,0,41716497.76,49578835.1,0,7853684.444,0,49578835.1,49578835.1,0
 12/17  10:00:00,0,0,4597009.177,0,8652.895022,0,41716497.76,49578835.1,0,7853684.444,0,49578835.1,49578835.1,0
 12/17  11:00:00,22805942.27,0,4597009.177,0,8652.895022,0,41716497.76,84587468.61,0,7853684.444,35008633.52,84587468.61,84587468.61,12202691.24
 12/17  12:00:00,33848417.82,0,4597009.177,0,8652.895022,0,41716497.76,97294582.42,0,7853684.444,47715747.32,97294582.42,97294582.42,13867329.51
 12/17  13:00:00,42089366.81,0,4597009.177,0,8652.895022,0,41716497.76,106370611.4,0,7853684.444,56791776.26,106370611.4,106370611.4,14702409.45
 12/17  14:00:00,49333793.05,0,4597009.177,0,8652.895022,0,41716497.76,114362225.5,0,7853684.444,64783390.37,114362225.5,114362225.5,15449597.33
 12/17  15:00:00,52502157.75,0,4597009.177,0,8652.895022,0,41716497.76,116729082.6,0,7853684.444,67150247.46,116729082.6,116729082.6,14648089.7
 12/17  16:00:00,56634266.46,0,4597009.177,0,8652.895022,0,41716497.76,120348655.5,0,7853684.444,70769820.45,120348655.5,120348655.5,14135554
 12/17  17:00:00,37063273.03,0,4597009.177,0,8652.895022,0,41716497.76,95886386.07,0,7853684.444,46307550.97,95886386.07,95886386.07,9244277.947
 12/17  18:00:00,0,0,4597009.177,0,8652.895022,24298440,41716497.76,73877275.1,0,7853684.444,0,73877275.1,73877275.1,0
 12/17  19:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
