Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE1 OFFICE ZN:Zone Air Temperature [C](Hourly),ZONE1 OFFICE ZN:Zone Air Relative Humidity [%](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Relative Humidity [%](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Relative Humidity [%](Hourly),Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 01/01  14:45:00,,5.0,,,,,,,5561408.23036625,13095235.012685718 
 01/01  15:00:00,,5.0,15.23616117142906,33.509019082701168,15.341578879294258,32.73962938494563,11.397920211397285,43.80209263792447,4264396.798516393,0.0 
 01/01  15:15:00,,4.85,,,,,,,5561408.23036625,15788923.533916884 
 01/01  15:30:00,,4.7,,,,,,,5561408.23036625,11068805.952763746 
 01/01  15:45:00,,4.550000000000001,,,,,,,5561408.23036625,18396797.024471154 
 01/01  16:00:00,,4.4,15.11167267636306,33.55182370742364,15.55188435027194,32.05721765498805,11.3399417656373,43.728042035575089,6398785.004423761,20112958.050403738 
 01/01  16:15:00,,4.0,,,,,,,5146196.970669643,2691903.259588316 
 01/01  16:30:00,,3.6,,,,,,,6440789.4098103749,23815706.468640999 
 01/01  16:45:00,,3.1999999999999999,,,,,,,6440789.409810376,17853642.49004612 
 01/01  17:00:00,,2.8,15.479899926884212,32.52303164547646,15.253999048259555,32.55439877849226,11.104568231686106,44.21942705195767,11217392.838446172,24007582.91411368 
 01/01  17:15:00,,2.6499999999999996,,,,,,,12033767.409810374,26184352.434214474 
 01/01  17:30:00,,2.5,,,,,,,10763330.291156395,4050890.0784249708 
 01/01  17:45:00,,2.35,,,,,,,12033767.409810374,28274873.493882445 
 01/01  18:00:00,,2.2,15.433682398590293,32.129523297716719,15.190324848758073,32.26561165728732,10.81022420533156,44.817439047875847,12033767.409810374,23458404.863468354 
 01/01  18:15:00,,1.9250000000000003,,,,,,,11217392.838446172,27351650.173212336 
 01/01  18:30:00,,1.6500000000000002,,,,,,,12033767.409810374,28898537.334848219 
 01/01  18:45:00,,1.375,,,,,,,10773347.989801327,4699098.680403878 
 01/01  19:00:00,,1.1,15.212510204327208,32.02134526610021,15.17265333764592,31.795084233189266,10.635121702046022,45.01676010760231,12033767.409810374,29244459.64765569 
 01/01  19:15:00,,1.1,,,,,,,12033767.409810374,24135356.393127376 
 01/01  19:30:00,,1.1,,,,,,,11217392.838446172,28210037.171949619 
 01/01  19:45:00,,1.1,,,,,,,12033767.409810374,32458121.20521204 
 01/01  20:00:00,,1.1,15.419921207543109,30.99594285821281,15.162543917267984,31.393365771984877,10.5380888137113,45.01784472800512,10736755.977960516,4220029.856403414 
 01/01  20:15:00,,0.675,,,,,,,12033767.409810374,30415190.446944495 
 01/01  20:30:00,,0.25000000000000008,,,,,,,12033767.409810374,25186922.084995673 
 01/01  20:45:00,,-0.17499999999999994,,,,,,,11217392.838446172,29062968.968446196 
 01/01  21:00:00,,-0.6,15.41446335919705,30.416757612926877,15.54361999321093,30.168668555773857,10.443347236762474,45.01695635952245,12033767.409810374,33014117.82766457 
 01/01  21:15:00,,-0.725,,,,,,,10736755.977960516,4447554.151581671 
 01/01  21:30:00,,-0.8500000000000001,,,,,,,12033767.409810374,32227398.853763246 
 01/01  21:45:00,,-0.9750000000000001,,,,,,,12033767.409810374,26854906.93342934 
 01/01  22:00:00,,-1.1,15.414492780131237,29.693407748194795,15.140668485510407,30.5208965878916,10.356743364748695,44.973429380020117,11217392.838446172,30735386.603178506 
 01/01  22:15:00,,-1.375,,,,,,,12033767.409810374,35197516.43689613 
 01/01  22:30:00,,-1.6500000000000002,,,,,,,10736755.977960516,4814352.791946792 
 01/01  22:45:00,,-1.9250000000000003,,,,,,,12033767.409810374,33363074.120923796 
 01/01  23:00:00,,-2.2,15.585201981750194,28.683274709009845,15.119092088725762,30.07728241417879,10.25768955628888,44.9606126424197,12033767.409810374,27987972.603402243 
 01/01  23:15:00,,-2.35,,,,,,,11217392.838446172,31974017.71808494 
 01/01  23:30:00,,-2.5,,,,,,,12033767.409810374,37350701.39882798 
 01/01  23:45:00,,-2.6499999999999996,,,,,,,10736755.977960516,5310347.494629241 
 01/01  24:00:00,,-2.8,15.39044378317627,28.340458534895985,15.0823212270315,29.579775207739169,10.13834616362318,44.94728325447966,12033767.409810374,35451911.39960787 
 01/02  00:15:00,,-2.6499999999999996,,,,,,,12143391.064501211,30777172.82280402 
 01/02  00:30:00,,-2.5,,,,,,,11327016.49313701,33235752.110947744 
 01/02  00:45:00,,-2.35,,,,,,,12143391.064501211,37597901.00996069 
 01/02  01:00:00,,-2.2,15.379918192669786,27.587077520753249,15.12854781748067,28.858665050020219,10.060164842041456,44.747122790929527,10846379.632651354,5143920.540632936 
 01/02  01:15:00,,-2.2,,,,,,,12143391.064501211,34485748.759848918 
 01/02  01:30:00,,-2.2,,,,,,,12143391.064501211,29355573.32746171 
 01/02  01:45:00,,-2.2,,,,,,,11327016.49313701,32621286.167591674 
 01/02  02:00:00,,-2.2,15.384555787148674,27.174999334094509,15.532689095780324,27.76065671669018,10.065578095122419,44.457278265984097,12143391.064501211,37514937.73637794 
 01/02  02:15:00,,-2.35,,,,,,,10846379.632651354,5213766.58568525 
 01/02  02:30:00,,-2.5,,,,,,,12143391.064501211,34537413.531211148 
 01/02  02:45:00,,-2.6499999999999996,,,,,,,12143391.064501211,29429148.205311404 
 01/02  03:00:00,,-2.8,15.400743051804753,26.707639154388024,15.098804732107676,28.25598952105607,10.045313499347849,44.23332475190899,11327016.49313701,32545352.110015397 
 01/02  03:15:00,,-3.0749999999999999,,,,,,,12143391.064501211,37737466.828851427 
 01/02  03:30:00,,-3.3499999999999998,,,,,,,10846379.632651354,5382633.770896887 
 01/02  03:45:00,,-3.625,,,,,,,12280687.049752268,36543629.20446219 
 01/02  04:00:00,,-3.9,15.584542446974274,25.89546067995765,15.092928745418777,27.92694224250108,10.010884881151693,44.062127995967987,12417983.035003325,33761726.3821795 
 01/02  04:15:00,,-3.9,,,,,,,11601608.463639124,37117703.335392918 
 01/02  04:30:00,,-3.9,,,,,,,12417983.035003325,42909881.08281617 
 01/02  04:45:00,,-3.9,,,,,,,11120971.603153468,9878955.919030272 
