Date/Time,InteriorEquipment:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Pumps:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),ExteriorLights:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly) 
 06/29  18:00:00,828370277.9,0,457420498.7,3047127954,109067930.9,334091861.8,3047127954,589715413.2,187349.2345,3047127954,474753304.4,471574209.3,1003256.836,594998330.1,187349.2345
 06/29  19:00:00,828370277.9,2495813.111,423563142,2703565025,107241629.5,334219836.5,2703565025,306652014.9,0,2703565025,443391760.8,405856522.5,1305333.387,568087376.4,0
 06/29  20:00:00,828370277.9,0,397999006.9,2668916596,105953893.8,335944489.8,2668916596,330210414.9,187362.0221,2668916596,415331812.7,389638016,1311331.647,535367188.2,187362.0221
 06/29  21:00:00,828370277.9,0,385422273.2,2650280328,105084834.1,335989764.6,2650280328,353768814.9,0,2650280328,402755079,394784139.2,220406.738,507003455.9,0
 06/29  22:00:00,828370277.9,0,381666103.4,2455907919,103759945.6,335989764.6,2455907919,212237115.7,187345.4913,2455907919,398998909.1,359377234.3,51773.47687,460507933.5,187345.4913
 06/29  23:00:00,828370277.9,0,375878365.4,2370275687,102906962.7,335989764.6,2370275687,165059882.6,187358.2933,2370275687,393211171.2,334476388.9,40564.49567,430601453.9,187358.2933
 06/29  24:00:00,552246851.9,0,348620318.5,1980685914,102523995.9,259340046.8,1980685914,165059882.6,0,1980685914,365953124.3,231810321.2,5327811.638,421319293.6,0
 06/30  01:00:00,552246851.9,0,319985298.4,1950395077,102413384.2,259340046.8,1950395077,165059882.6,187341.7538,1950395077,337318104.2,241058357.7,14575848.11,420858274.4,187341.7538
 06/30  02:00:00,552246851.9,0,316038773.9,1931069830,102045431.7,259340046.8,1931069830,165059882.6,0,1931069830,333371579.6,261869020.5,23714074.42,406267017.6,0
 06/30  03:00:00,552246851.9,0,313036593.1,1911269428,101704734.1,259340046.8,1911269428,165059882.6,187354.5684,1911269428,330369398.9,259038280.2,32555770.62,389842229,187354.5684
 06/30  04:00:00,552246851.9,0,310523835.9,1902646950,101637675.3,259340046.8,1902646950,165059882.6,187338.0227,1902646950,327856641.7,269021744.2,42539234.67,383955125.1,187338.0227
 06/30  05:00:00,552246851.9,0,308668443.6,1897775067,101624008.2,259329986.2,1897775067,153280682.6,0,1897775067,326001249.3,277524218.5,51041708.92,383411830,0
 06/30  06:00:00,552246851.9,0,310238506,1874646972,101912351.2,259091338.6,1874646972,117943082.6,187350.85,1874646972,327571311.8,272277922,45795412.43,395402368.1,187350.85
 06/30  07:00:00,552246851.9,0,317342245.6,1929337758,103358276,258880459.1,1929337758,117943082.6,7839.873786,1929337758,334675051.3,275481421.5,37326507.13,444927277.2,7839.873786
 06/30  08:00:00,966431990.9,0,389308677.5,2823745980,106280249.7,410128249.7,2823745980,294857706.6,179514.6977,2823745980,406641483.3,391461807,3049325.163,524105991.2,179514.6977
 06/30  09:00:00,1242555417,0,442291396.3,3732184950,111478547.7,737350732.3,3732184950,443049039.9,187347.1204,3732184950,459624202,780907221,2840841.322,620910596.5,187347.1204
 06/30  10:00:00,1242555417,0,461388319.6,3930930633,113638364.4,737057359.9,3930930633,589715413.2,0,3930930633,478721125.3,849018945,385714.4437,651830417,0
 06/30  11:00:00,1242555417,0,477348644.6,3952753786,113827063.1,737057359.9,3952753786,589715413.2,187359.9168,3952753786,494681450.4,859370037.8,99342.44413,656980459.6,187359.9168
 06/30  12:00:00,1242555417,0,479381182.3,3964632022,114704457.2,737057359.9,3964632022,589715413.2,187343.3818,3964632022,496713988,906406753.3,368913.0223,664465581.6,187343.3818
 06/30  13:00:00,1242555417,0,475572114.5,3815136944,115818494.2,737057359.9,3815136944,443049039.9,0,3815136944,492904920.3,868595165.8,38670.01161,665569794.6,0
 06/30  14:00:00,1242555417,0,484737643.7,3978591881,117135375.1,737057359.9,3978591881,589715413.2,187356.1909,3978591881,502070449.4,865944784.5,0,671408439.1,187356.1909
 06/30  15:00:00,1242555417,0,497070469.2,3977796002,116952400.8,737057359.9,3977796002,589715413.2,0,3977796002,514403274.9,906046295.1,0,658599554.4,0
 06/30  16:00:00,1242555417,0,503670632.1,3978376647,117639010.9,737057359.9,3978376647,589715413.2,187339.6485,3978376647,521003437.9,743976941.8,263969.4589,651650970,187339.6485
 06/30  17:00:00,828370277.9,0,466905615,3035094600,109798897.5,334091861.8,3035094600,589715413.2,187352.4675,3035094600,484238420.7,536514955.8,5773.187439,572611945.8,187352.4675
 06/30  18:00:00,828370277.9,0,451387478.5,2988767741,107132210.1,334091861.8,2988767741,589715413.2,0,2988767741,468720284.3,475286802.1,1896587.844,545058695.1,0
 06/30  19:00:00,828370277.9,2447490.54,412047869.7,2634662446,105562087.5,335055906.2,2634662446,306652014.9,187313.9153,2634662446,431828166,414722988.5,1195464.613,511634898.5,187313.9153
 06/30  20:00:00,828370277.9,0,394921236.5,2648069229,105738384.7,335989764.6,2648069229,330210414.9,0,2648069229,412254042.2,386326372.7,730715.0089,520418296.9,0
 06/30  21:00:00,828370277.9,0,384340258.4,2652321413,105365422.8,335989764.6,2652321413,353768814.9,187348.7455,2652321413,401673064.2,397463990.9,185714.029,512236282.3,187348.7455
 06/30  22:00:00,828370277.9,0,379487671.9,2481212658,104742910.8,335989764.6,2481212658,212237115.7,187361.5364,2481212658,396820477.7,359521618.9,14811.82354,488980472,187361.5364
 06/30  23:00:00,828370277.9,0,374951794.2,2420655264,104279244.9,335989764.6,2420655264,165059882.6,0,2420655264,392284599.9,334654627.3,218802.8983,480936863.7,0
 06/30  24:00:00,552246851.9,0,348044495,2029942385,103753658.6,259340046.8,2029942385,165059882.6,187345.0035,2029942385,365377300.7,233419979.7,6937470.203,470095245.7,187345.0035
 07/01  01:00:00,552246851.9,0,319388083.8,1969444499,102759408.9,259340046.8,1969444499,165059882.6,0,1969444499,336720889.6,242561254.1,16078744.55,440699802.9,0
 07/01  02:00:00,552246851.9,0,315968777.5,1927086849,101857591.8,259340046.8,1927086849,165059882.6,187357.8071,1927086849,333301583.3,261965765.4,23810838.24,402630519,187357.8071
 07/01  03:00:00,552246851.9,0,313251696.3,1899205749,101384384.2,259340046.8,1899205749,165059882.6,187341.2678,1899205749,330584502.1,258146365.3,31663855.75,378081308,187341.2678
 07/01  04:00:00,552246851.9,0,310818731.1,1876828164,101056339,259340046.8,1876828164,165059882.6,0,1876828164,328151536.9,268225264.4,41742754.82,358788618.8,0
 07/01  05:00:00,552246851.9,0,308913703,1859829117,101012350,259340046.8,1859829117,153280682.6,187354.0841,1859829117,326246508.8,276372272.8,49889763.25,353528248.2,187354.0841
 07/01  06:00:00,552246851.9,0,307931161.5,1828630954,101105726.8,259299801.6,1828630954,117943082.6,187337.5374,1828630954,325263967.2,279033719.8,52551210.21,358681323,187337.5374
 07/01  07:00:00,552246851.9,0,308031699.9,1847161248,101619052.3,259043648.7,1847161248,117943082.6,0,1847161248,325364505.6,287496825.6,49341930.23,377406526.1,0
 07/01  08:00:00,690308564.9,575429.5438,343914751.7,2197689692,102414945.7,296725606.5,2197689692,235886165.3,187350.3664,2197689692,361822987,302076615,21617448.05,397111484.4,187350.3664
 07/01  09:00:00,897401134.4,0,380176953.9,2722955797,103544222.5,504914750,2722955797,271269090.1,0,2722955797,397509759.7,483184769.1,2458027.587,434093282.3,0
 07/01  10:00:00,897401134.4,0,394241461.8,2902409778,104164130.2,504914750,2902409778,412800789.2,187363.1494,2902409778,411574267.6,576647356.3,180662.5544,456863794.1,187363.1494
 07/01  11:00:00,897401134.4,0,401619725.6,2914830424,104285601.8,504523586.9,2914830424,412800789.2,187346.6209,2914830424,418952531.4,589288625.4,0,462220792.2,187346.6209
 07/01  12:00:00,897401134.4,0,408950457.3,2924024327,104402866,504393199.1,2924024327,412800789.2,0,2924024327,426283263.1,562598351.7,26315.90658,463460627.4,0
 07/01  13:00:00,897401134.4,0,407164318.9,2806465486,104395466.1,504393199.1,2806465486,300754860.7,187359.419,2806465486,424497124.6,575941783.8,141909.2944,460816696,187359.419
 07/01  14:00:00,897401134.4,0,407829013.3,2804302998,104334397.2,504393199.1,2804302998,300754860.7,0,2804302998,425161819,559354787.7,3179.550713,458204278.8,0
 07/01  15:00:00,897401134.4,0,411839023.9,2817881092,104592286.9,504393199.1,2817881092,300754860.7,187342.883,2817881092,429171829.7,564041635.2,0,467123740.9,187342.883
 07/01  16:00:00,897401134.4,0,412344571.3,2828295569,104812400.5,504393199.1,2828295569,300754860.7,187355.6938,2828295569,429677377.1,421917046.1,65965.28565,476609821.1,187355.6938
 07/01  17:00:00,897401134.4,0,408219700.6,2809637548,104316300.2,504393199.1,2809637548,300754860.7,0,2809637548,425552506.4,439931828.5,221063.0137,462833083.1,0
 07/01  18:00:00,897401134.4,2924966.683,398142050,2613776987,103360024.9,504604080,2613776987,147428853.3,187339.1488,2613776987,418399822.4,387767613.8,1332649.501,428253366.4,187339.1488
 07/01  19:00:00,552246851.9,0,350040824.9,1883069959,101627659,259287327.2,1883069959,117943082.6,0,1883069959,367373630.7,270445518.2,18939107.44,371795242.8,0
 07/01  20:00:00,552246851.9,0,339799354.8,1883824366,101078947,259340046.8,1883824366,141501482.6,187351.9707,1883824366,357132160.6,266276172.8,39793663.25,357882003.9,187351.9707
 07/01  21:00:00,552246851.9,0,335571104.4,1905267157,101147115.7,259340046.8,1905267157,165059882.6,187300.2004,1905267157,352903910.1,291098669,52943719.45,360095166.6,187300.2004
 07/01  22:00:00,552246851.9,0,332987562.3,1906523495,101239591.1,259340046.8,1906523495,165059882.6,0,1906523495,350320368,288529302.3,62046792.77,364975847.7,0
 07/01  23:00:00,552246851.9,0,331041950.6,1901383438,101169578.6,259340046.8,1901383438,165059882.6,187348.2434,1901383438,348374756.3,296719862.8,70237353.27,363029876.8,187348.2434
 07/01  24:00:00,552246851.9,0,329413665.1,1895417094,101101654.7,259340046.8,1895417094,165059882.6,0,1895417094,346746470.8,304439449.6,77956940.06,358031807.6,0
 07/02  01:00:00,492977197.9,0,298837110.4,1765721870,100785958.4,240177617.3,1765721870,165059882.6,187361.036,1765721870,316169916.2,260696602.6,88190750.51,344001875.3,187361.036
 07/02  02:00:00,492977197.9,0,297051649.1,1766272800,100841911.2,240177617.3,1766272800,165059882.6,187344.5033,1766272800,314384454.9,281499510,97321249.68,344529665.3,187344.5033
 07/02  03:00:00,492977197.9,0,295778136.8,1779079190,101033878.9,240177617.3,1779079190,165059882.6,0,1779079190,313110942.6,276378060.6,103872208.5,355030635.9,0
 07/02  04:00:00,492977197.9,0,294776376.2,1787643607,101168433.1,240177617.3,1787643607,165059882.6,187357.3086,1787643607,312109181.9,281214511.6,108708659.5,364225215.8,187357.3086
 07/02  05:00:00,492977197.9,0,293914862.6,1775738761,101034585.1,240177617.3,1775738761,153280682.6,187340.7683,1775738761,311247668.4,285795318.3,113289466.2,363272617.7,187340.7683
 07/02  06:00:00,492977197.9,0,293544514.6,1743596011,101094489.1,240131135.3,1743596011,117943082.6,0,1743596011,310877320.4,284133656.4,111627804.3,367134483.3,0
 07/02  07:00:00,492977197.9,0,293687290.7,1748050092,101168187.4,239995512.4,1748050092,117943082.6,187353.5863,1748050092,311020096.5,289287323.7,105109095.1,371716402,187353.5863
 07/02  08:00:00,492977197.9,0,317587841.7,1780433403,101340671.5,239926494,1780433403,117943082.6,0,1780433403,334920647.4,263256421.5,90750569.38,381012578.2,0
 07/02  09:00:00,709830969.8,0,337199650.1,2277248474,102459481.6,347113487.6,2277248474,235886165.3,187351.7189,2277248474,354532455.9,375033485.1,29351787.53,414563222.4,187351.7189
 07/02  10:00:00,709830969.8,0,343998273.2,2309393862,102986045.4,347113487.6,2309393862,235886165.3,187349.8681,2309393862,361331079,376874967.7,15924678.4,439212888.8,187349.8681
 07/02  11:00:00,709830969.8,0,350577580.4,2335311945,103414589.4,347113487.6,2335311945,235886165.3,0,2335311945,367910386.1,353716979.9,6267341.97,458166512.6,0
 07/02  12:00:00,709830969.8,0,355454721.7,2365366676,103997399.4,347113487.6,2365366676,235886165.3,187362.6552,2365366676,372787527.5,350458101.8,4796328.082,481348087.7,187362.6552
 07/02  13:00:00,709830969.8,0,360074573,2391534913,104526326.3,347113487.6,2391534913,235886165.3,0,2391534913,377407378.8,367846235.9,5127784.309,503468608.2,0
 07/02  14:00:00,709830969.8,0,360694392.9,2387557380,104292290.8,347113487.6,2387557380,235886165.3,187346.1257,2387557380,378027198.7,350968113.8,5282429.585,498861880.7,187346.1257
 07/02  15:00:00,709830969.8,0,364807330.1,2376628392,103945168.1,347113487.6,2376628392,235886165.3,187358.9255,2376628392,382140135.8,353362441.3,5505642.13,484166213.6,187358.9255
 07/02  16:00:00,709830969.8,0,363648876.3,2355928858,103492060.2,347113487.6,2355928858,235886165.3,0,2355928858,380981682.1,242550980.2,5917485.818,465264914.3,0
 07/02  17:00:00,492977197.9,0,334808600.4,1847225746,102162972,239861300.2,1847225746,117943082.6,187342.3873,1847225746,352141406.2,197035799,24529946.87,428994101,187342.3873
 07/02  18:00:00,492977197.9,0,327164478.5,1820613976,101786627.4,239868846.3,1820613976,117943082.6,0,1820613976,344497284.3,218937379.7,46431527.61,410870955.5,0
 07/02  19:00:00,492977197.9,0,322226395.2,1800504195,101531904.6,240062117.3,1800504195,117943082.6,187355.1998,1800504195,339559200.9,241953168.8,69447316.68,395826259.2,187355.1998
 07/02  20:00:00,492977197.9,0,319119906.6,1810446218,101318816.8,240177617.3,1810446218,141501482.6,187338.6553,1810446218,336452712.4,258785519.2,86279667.03,383677627.9,187338.6553
 07/02  21:00:00,492977197.9,0,317535215.8,1821396667,101113807.6,240177617.3,1821396667,165059882.6,0,1821396667,334868021.5,281558705.9,97380422.93,373172518.8,0
 07/02  22:00:00,492977197.9,0,316508118.9,1813121334,100993758.3,240177617.3,1813121334,165059882.6,187351.4805,1813121334,333840924.7,277023945.1,104518092.9,366763017,187351.4805
 07/02  23:00:00,492977197.9,0,315722554.1,1806057771,100910630.7,240177617.3,1806057771,165059882.6,65926.69853,1806057771,333055359.9,283096268,110590415.9,362032551.3,65926.69853
 07/02  24:00:00,492977197.9,0,315013698.6,1804633186,100892953,240177617.3,1804633186,165059882.6,121382.6828,1804633186,332346504.3,288410114.7,115904262.6,360326920.7,121382.6828
 07/03  01:00:00,552246851.9,0,296925373.6,1866149484,100952957.7,259340046.8,1866149484,165059882.6,187347.7466,1866149484,314258179.4,334678836.2,108196326.6,362193428.7,187347.7466
 07/03  02:00:00,552246851.9,0,296871430.5,1867560294,101010564.9,259340046.8,1867560294,165059882.6,0,1867560294,314204236.2,349394037.8,111239129.2,363787843.9,0
 07/03  03:00:00,552246851.9,0,296623153.2,1871730011,101095553.2,259340046.8,1871730011,165059882.6,187360.5408,1871730011,313955959,341021356.1,114538846.6,367932756.3,187360.5408
 07/03  04:00:00,552246851.9,0,296344027.3,1876015743,101180127.2,259340046.8,1876015743,165059882.6,187344.0071,1876015743,313676833,344119325.1,117636815.5,372413312.6,187344.0071
 07/03  05:00:00,552246851.9,0,296119403.9,1867819489,101209795.3,259340046.8,1867819489,153280682.6,0,1867819489,313452209.7,346649870.2,120167360.7,374573322.8,0
 07/03  06:00:00,552246851.9,0,296215342,1832863888,101208142.1,259319924.9,1832863888,117943082.6,187356.8141,1832863888,313548147.8,345188157.4,118705647.8,374809849,187356.8141
 07/03  07:00:00,552246851.9,0,296470682.7,1840702348,101511840.3,259169209.6,1840702348,117943082.6,0,1840702348,313803488.5,353086008.2,114931131.4,382815903.5,0
 07/03  08:00:00,966431990.9,0,348079045.7,2662018752,102606605.4,410291234.4,2662018752,294857706.6,187362.2649,2662018752,365411851.5,425700777,37288295.23,408307940.8,187362.2649
 07/03  09:00:00,1242555417,0,399425122.1,3514155286,104248088.5,737350732.3,3514155286,443049039.9,187353.0869,3514155286,416757927.9,647576219.5,3931036.521,454463098,187353.0869
 07/03  10:00:00,1242555417,0,413806659.4,3706479637,105542802.9,737057359.9,3706479637,589715413.2,0,3706479637,431139465.2,830913011.1,414027.4316,484725959.4,0
 07/03  11:00:00,1242555417,0,423324187.6,3740749546,106609845.3,737057359.9,3740749546,589715413.2,187336.5382,3740749546,440656993.3,885042618.3,0,508019414.6,187336.5382
 07/03  12:00:00,1242555417,0,433105750.1,3785077751,108086515.7,737057359.9,3785077751,589715413.2,0,3785077751,450438555.8,868534729.2,0,539938891.5,0
 07/03  13:00:00,1242555417,0,439456229.8,3672481232,109342876.9,737057359.9,3672481232,443049039.9,187349.3705,3672481232,456789035.6,869655547.2,0,567056494.5,187349.3705
 07/03  14:00:00,1242555417,0,444961524.1,3841334838,110190677.5,737057359.9,3841334838,589715413.2,187362.1593,3841334838,462294329.9,894670968.6,0,582784562.3,187362.1593
 07/03  15:00:00,1242555417,0,447012532,3848259685,110588378.3,737057359.9,3848259685,589715413.2,0,3848259685,464345337.8,868541630.4,15937.48834,587423774.7,0
 07/03  16:00:00,1242555417,0,446247064.7,3849468505,110784808.4,737057359.9,3849468505,589715413.2,187345.6288,3849468505,463579870.5,748827588.9,50554.48356,588993623.4,187345.6288
 07/03  17:00:00,828370277.9,0,408425095.1,2909839794,105690689.6,334091861.8,2909839794,589715413.2,0,2909839794,425757900.9,561415183.6,177330.2763,511905733.1,0
 07/03  18:00:00,828370277.9,0,387449756.7,2863850113,104790624.1,334219836.5,2863850113,589715413.2,187358.4275,2863850113,404782562.4,471171103.2,491366.6755,487720867.5,187358.4275
 07/03  19:00:00,828370277.9,2718172.788,373850094.5,2529931769,103516667.2,335756147.3,2529931769,306652014.9,187341.8878,2529931769,393901073,396570681.6,2949471.544,447658415.8,187341.8878
 07/03  20:00:00,828370277.9,0,368515972.1,2530706382,103111701.8,335989764.6,2530706382,330210414.9,0,2530706382,385848777.9,393936591.3,8349223.62,431521577.5,0
 07/03  21:00:00,828370277.9,0,363777143.9,2537111534,102836858.6,335989764.6,2537111534,353768814.9,187354.702,2537111534,381109949.6,417279204.5,20032928.74,419459273,187354.702
 07/03  22:00:00,828370277.9,0,361341271.7,2386532885,102778242.6,335989764.6,2386532885,212237115.7,187338.1565,2386532885,378674077.4,386032338.3,26722958.29,413973737.7,187338.1565
 07/03  23:00:00,828370277.9,0,358060789.4,2321980715,102185599.8,335989764.6,2321980715,165059882.6,0,2321980715,375393595.1,366394962.8,31959138.45,402075786.6,0
 07/03  24:00:00,552246851.9,0,335941174.1,1911318628,101264743,259340046.8,1911318628,165059882.6,187350.9822,1911318628,353273979.8,281334356.3,54851846.79,366850102.8,187350.9822
 07/04  01:00:00,552246851.9,0,309250417.2,1863344635,100892769.4,259340046.8,1863344635,165059882.6,0,1863344635,326583222.9,294071719.2,67589209.66,347236760.2,0
 07/04  02:00:00,552246851.9,0,307251982.3,1844537351,100685547.2,259340046.8,1844537351,165059882.6,187341.9027,1844537351,324584788,314968359.7,76813593.08,334062671.1,187341.9027
 07/04  03:00:00,552246851.9,0,305674360.4,1833606759,100613681.8,259340046.8,1833606759,165059882.6,187347.2415,1833606759,323007166.2,310767348.2,84284838.63,328347161.1,187347.2415
 07/04  04:00:00,552246851.9,0,304287867.7,1826457453,100517002.2,259340046.8,1826457453,165059882.6,0,1826457453,321620673.4,317493253.7,91010744.13,322878917.6,0
 07/04  05:00:00,552246851.9,0,303081530.9,1817572276,100465035.1,259340046.8,1817572276,153280682.6,187360.0375,1817572276,320414336.7,323112030.6,96629521.01,319502075.1,187360.0375
 07/04  06:00:00,552246851.9,0,302362764.2,1778573992,100450168.5,259294771.3,1778573992,117943082.6,0,1778573992,319695570,322967680.5,96485170.96,318898884.3,0
 07/04  07:00:00,552246851.9,0,302028225.7,1780402465,100608823.8,259101397.8,1780402465,117943082.6,187343.5027,1780402465,319361031.5,331012031.1,92857296.07,323017665.8,187343.5027
