Date/Time,InteriorLights:Electricity [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),ElectricityNet:Facility [J](Hourly),Pumps:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ExteriorLights:Electricity [J](Hourly),Gas:Facility [J](Hourly),Electricity:Facility [J](Hourly) 
 07/06  03:00:00,80771321.23,0,0,768175548.5,3664089732,86555233.52,2227359132,3664089732,223672501.6,757366530.5,153357479.7,9975553.087,3664089732
 07/06  04:00:00,80771321.23,0,0,852701837.2,3855156856,112865772.1,2227359132,3855156856,268907122.6,802390099.6,153357479.7,9975553.087,3855156856
 07/06  05:00:00,80771321.23,0,0,772521522,3694322308,86728445.1,2227359132,3694322308,232439442.6,765829066.7,170303929.9,9975553.087,3694322308
 07/06  06:00:00,152687176.6,0,0,774281479.4,3778997087,86739380.19,2227359132,3778997087,236816778.9,770317346.8,176914624.4,9975553.087,3778997087
 07/06  07:00:00,128752027.5,0,0,876968014.6,4522857600,113443029.2,2227359132,4522857600,269762537.8,1197009557,353829248.7,9975553.087,4522857600
 07/06  08:00:00,379938773.5,0,0,944341326,4983721918,114303492.2,2227359132,4983721918,322749023.3,1250407808,442286560.9,36899621.45,4983721918
 07/06  09:00:00,1139816321,0,0,1143696509,6880039369,119157937.7,2882520710,6880039369,599817720.7,1528187524,442286560.9,104111070.3,6880039369
 07/06  10:00:00,1139816321,0,0,1213121682,6883609337,121269685.1,2882520710,6883609337,664536737.1,1593723939,309600592.6,109206618.5,6883609337
 07/06  11:00:00,1139816321,0,0,1249128972,6766662840,122105251.3,2882520710,6766662840,687662008,1617580584,132685968.3,126959490.6,6766662840
 07/06  12:00:00,1139816321,0,0,1269920994,6800565440,122651227.5,2882520710,6800565440,700226609.4,1630515953,132685968.3,141886861.5,6800565440
 07/06  13:00:00,1139816321,0,0,1228185362,6558213108,120747599.3,2751488394,6558213108,632545854.1,1563060275,132685968.3,175041044.3,6558213108
 07/06  14:00:00,1139816321,0,0,1314859232,6917638767,124304911.3,2882520710,6917638767,770708014.3,1701192213,132685968.3,171080625.8,6917638767
 07/06  15:00:00,1139816321,0,0,1349924096,7004935537,126759613.2,2882520710,7004935537,820485219,1750586851,132685968.3,120321637.6,7004935537
 07/06  16:00:00,1139816321,0,0,1362724956,6981930738,129618557.7,2882520710,6981930738,781820615.7,1711399883,132685968.3,104312995.4,6981930738
 07/06  17:00:00,1139816321,0,0,1294563485,7109371586,126012639.6,2882520710,7109371586,804114227.8,1733313870,309600592.6,131512758,7109371586
 07/06  18:00:00,635093388.9,0,0,1112254944,5776835787,117921812.6,2358391447,5776835787,558144022.2,1487406677,442286560.9,96979696.44,5776835787
 07/06  19:00:00,393751061.9,0,0,1032588750,5203202684,115613917.5,2227359132,5203202684,438859652.3,1368202145,442286560.9,69973825.28,5203202684
 07/06  20:00:00,444875925.4,0,0,994188347.4,5169228114,114824989.6,2227359132,5169228114,380095141,1309401196,455140968.4,49999571.14,5169228114
 07/06  21:00:00,298466186.2,0,0,973977398.7,5068621571,114435356.2,2227359132,5068621571,345187200,1274582537,556452688.2,50220772.81,5068621571
 07/06  22:00:00,298466186.2,0,0,965321582.1,4956645735,114273990.1,2227359132,4956645735,330485858.9,1260072933,467995376,35400496.64,4956645735
 07/06  23:00:00,149233093.1,0,0,881160250.4,4221442101,111493621.1,2227359132,4221442101,316380056.2,852375629.8,379538063.8,9975553.087,4221442101
 07/06  24:00:00,74616546.55,0,0,803155566.1,3861063054,88753735,2227359132,3861063054,251898807.1,787487934.9,291080751.6,22300104.01,3861063054
 07/07  01:00:00,80771321.23,0,0,797521756.8,3721593550,88258797.43,2227359132,3721593550,250126547.1,785238707.1,153357479.7,9975553.087,3721593550
 07/07  02:00:00,80771321.23,0,0,793901028.6,3724298741,87773320.12,2227359132,3724298741,256937944.1,791692656.3,153357479.7,9975553.087,3724298741
 07/07  03:00:00,80771321.23,0,0,773721597.6,3670241528,86568414.62,2227359132,3670241528,224265067.5,758739062.8,153357479.7,9975553.087,3670241528
 07/07  04:00:00,80771321.23,0,0,864708997.7,3870889174,113436779.4,2227359132,3870889174,272061273.4,806304467.4,153357479.7,9975553.087,3870889174
 07/07  05:00:00,80569751.65,0,0,781811034.5,3705762423,87118822.41,2227359132,3705762423,234401236.8,768586538.6,170303929.9,9975553.087,3705762423
 07/07  06:00:00,146397639.7,0,0,790984329.9,3803454625,87319585.01,2227359132,3803454625,250280798.2,784716932.4,176914624.4,9975553.087,3803454625
 07/07  07:00:00,127018677.8,0,0,922750606.3,4625817466,113997606,2227359132,4625817466,328118585.4,1256468487,353829248.7,9975553.087,4625817466
 07/07  08:00:00,379938773.5,0,0,978658492.4,5086088575,114760801.8,2227359132,5086088575,390341204.8,1319182432,442286560.9,23414677.08,5086088575
 07/07  09:00:00,1139816321,0,0,1210910563,7036514630,121082572.1,2882520710,7036514630,687154293.5,1616709336,442286560.9,103076918.7,7036514630
 07/07  10:00:00,1139816321,0,0,1299163519,7057804709,123926227,2882520710,7057804709,750033730.1,1680493786,309600592.6,125171456.5,7057804709
 07/07  11:00:00,1139816321,0,0,1334006377,6948543692,124930177.6,2882520710,6948543692,781840528.8,1712861963,132685968.3,125396544.9,6948543692
 07/07  12:00:00,1139816321,0,0,1327157115,6947646389,124759625.8,2882520710,6947646389,787963039.3,1718846674,132685968.3,138646987.1,6947646389
 07/07  13:00:00,1139816321,0,0,1261446722,6681023701,122173112,2751488394,6681023701,720669573.6,1651146429,132685968.3,173859228.6,6681023701
 07/07  14:00:00,1139816321,0,0,1351182342,7048345003,126449134.7,2882520710,7048345003,862946917.8,1793168216,132685968.3,171637318.8,7048345003
 07/07  15:00:00,1139816321,0,0,1389890974,7115206484,128767434,2882520710,7115206484,888781466.9,1819103333,132685968.3,120177791.9,7115206484
 07/07  16:00:00,1139816321,0,0,1426650521,7107025063,132432785.9,2882520710,7107025063,840175147.4,1770699255,132685968.3,107594060.9,7107025063
 07/07  17:00:00,1139816321,0,0,1391231930,7213248712,131873226.9,2882520710,7213248712,805462321.1,1736134712,309600592.6,134132611.8,7213248712
 07/07  18:00:00,635093388.9,0,0,1139332564,5838224468,118377930.3,2358391447,5838224468,591998966.2,1522495126,442286560.9,85023553.9,5838224468
 07/07  19:00:00,397996161.7,0,0,1055056116,5256582984,115975308.9,2227359132,5256582984,465166095.2,1395356388,442286560.9,66197203.93,5256582984
 07/07  20:00:00,444875925.4,0,0,1008456934,5208909703,115050143.1,2227359132,5208909703,405282989.3,1335257795,455140968.4,50057879.94,5208909703
 07/07  21:00:00,298466186.2,0,0,968818557.7,5083432006,114431791.3,2227359132,5083432006,365160040.7,1294768580,556452688.2,63640077.41,5083432006
 07/07  22:00:00,298466186.2,0,0,940529026.5,4945987369,114083681.2,2227359132,4945987369,344810356.9,1274061903,467995376,22543640.91,4945987369
 07/07  23:00:00,149233093.1,0,0,869674682,4221567050,111550355.5,2227359132,4221567050,327933838.7,863305573.4,379538063.8,22327657.57,4221567050
 07/07  24:00:00,74616546.55,0,0,793728466.9,3855888214,88789156.48,2227359132,3855888214,256115644.9,791146085.6,291080751.6,22284871.55,3855888214
 07/08  01:00:00,80771321.23,0,0,790353061.4,3584152899,88195148.46,2096326816,3584152899,250950556.4,785760511.7,153357479.7,9975553.087,3584152899
 07/08  02:00:00,80771321.23,0,0,789002379,3589419848,87627924.81,2096326816,3589419848,258135412,792788901.7,153357479.7,9975553.087,3589419848
 07/08  03:00:00,80771321.23,0,0,772089426.2,3540276362,86578825.47,2096326816,3540276362,226953978,761523097.6,153357479.7,9975553.087,3540276362
