Date/Time,ElectricityNet:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Fans:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),ExteriorLights:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Cooling:Electricity [J](Hourly) 
 05/25  17:00:00,40155606.57,0,0,5557023.551,14420686.54,2055596.969,40155606.57,0,2.18E-05,11200668.07,0,0,12478654.98,40155606.57,2055596.969,5643644.523
 05/25  18:00:00,26508079.62,0,0,5557023.551,10284451.83,2055596.969,26508079.62,0,2.18E-05,7928703.326,0,0,6239327.492,26508079.62,2055596.969,2371679.775
 05/25  19:00:00,17545809.25,0,0,5557023.551,7437457.736,2055596.969,17545809.25,0,2.18E-05,5557023.551,0,0,2495730.997,17545809.25,2055596.969,0
 05/25  20:00:00,14848350.96,0,0,0,7487192.991,2055596.969,14848350.96,2809830,2.18E-05,0,0,0,2495730.997,14848350.96,2055596.969,0
 05/25  21:00:00,13627651.96,0,0,0,5704527.993,2055596.969,13627651.96,3371796,2.18E-05,0,0,0,2495730.997,13627651.96,2055596.969,0
 05/25  22:00:00,13627651.96,0,0,0,5704527.993,2055596.969,13627651.96,3371796,2.18E-05,0,0,0,2495730.997,13627651.96,2055596.969,0
 05/25  23:00:00,12023253.46,0,0,0,4100129.495,2055596.969,12023253.46,3371796,0,0,0,0,2495730.997,12023253.46,2055596.969,0
 05/25  24:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/26  01:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/26  02:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/26  03:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/26  04:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/26  05:00:00,13385468.46,0,0,0,3208796.996,2055596.969,13385468.46,1881747,0,0,0,0,6239327.492,13385468.46,2055596.969,0
 05/26  06:00:00,12343273.83,0,0,0,4048349.368,2055596.969,12343273.83,0,0,0,0,0,6239327.492,12343273.83,2055596.969,0
 05/26  07:00:00,17653367.86,0,0,5557023.551,3801419.851,2055596.969,17653367.86,0,0,5557023.551,0,0,6239327.492,17653367.86,2055596.969,0
 05/26  08:00:00,20491962.21,0,0,5557023.551,6640014.201,2055596.969,20491962.21,0,2.18E-05,5557023.551,0,0,6239327.492,20491962.21,2055596.969,0
 05/26  09:00:00,35617173.21,0,0,5557023.551,13784700.45,2055596.969,35617173.21,0,2.18E-05,7298220.806,0,0,12478654.98,35617173.21,2055596.969,1741197.255
 05/26  10:00:00,36768905.03,0,0,5557023.551,13652347.81,2055596.969,36768905.03,0,2.18E-05,8582305.267,0,0,12478654.98,36768905.03,2055596.969,3025281.715
 05/26  11:00:00,37318649.3,0,0,5557023.551,13464973.81,2055596.969,37318649.3,0,2.18E-05,9319423.54,0,0,12478654.98,37318649.3,2055596.969,3762399.989
 05/26  12:00:00,37787425.87,0,0,5557023.551,13394708.56,2055596.969,37787425.87,0,2.18E-05,9858465.362,0,0,12478654.98,37787425.87,2055596.969,4301441.81
 05/26  13:00:00,34810247.05,0,0,5557023.551,11906407.61,2055596.969,34810247.05,0,2.18E-05,9118306.783,0,0,11729935.69,34810247.05,2055596.969,3561283.232
 05/26  14:00:00,38405773.37,0,0,5557023.551,13441552.06,2055596.969,38405773.37,0,2.18E-05,10429969.35,0,0,12478654.98,38405773.37,2055596.969,4872945.802
 05/26  15:00:00,38809833.36,0,0,5557023.551,13605504.31,2055596.969,38809833.36,0,2.18E-05,10670077.1,0,0,12478654.98,38809833.36,2055596.969,5113053.547
 05/26  16:00:00,39067914.81,0,0,5557023.551,13748390.15,2055596.969,39067914.81,0,2.18E-05,10785272.7,0,0,12478654.98,39067914.81,2055596.969,5228249.15
 05/26  17:00:00,39571751.5,0,0,5557023.551,14288333.9,2055596.969,39571751.5,0,2.18E-05,10749165.64,0,0,12478654.98,39571751.5,2055596.969,5192142.093
 05/26  18:00:00,26183669.3,0,0,5557023.551,10203481.72,2055596.969,26183669.3,0,2.18E-05,7685263.113,0,0,6239327.492,26183669.3,2055596.969,2128239.561
 05/26  19:00:00,17556739.4,0,0,5557023.551,7448387.886,2055596.969,17556739.4,0,2.18E-05,5557023.551,0,0,2495730.997,17556739.4,2055596.969,0
 05/26  20:00:00,14848350.96,0,0,0,7487192.991,2055596.969,14848350.96,2809830,2.18E-05,0,0,0,2495730.997,14848350.96,2055596.969,0
 05/26  21:00:00,13627651.96,0,0,0,5704527.993,2055596.969,13627651.96,3371796,2.18E-05,0,0,0,2495730.997,13627651.96,2055596.969,0
 05/26  22:00:00,13627651.96,0,0,0,5704527.993,2055596.969,13627651.96,3371796,2.18E-05,0,0,0,2495730.997,13627651.96,2055596.969,0
 05/26  23:00:00,12023253.46,0,0,0,4100129.495,2055596.969,12023253.46,3371796,0,0,0,0,2495730.997,12023253.46,2055596.969,0
 05/26  24:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/27  01:00:00,10018221.36,0,0,0,3208796.996,2055596.969,10018221.36,2258096.4,0,0,0,0,2495730.997,10018221.36,2055596.969,0
 05/27  02:00:00,10018221.36,0,0,0,3208796.996,2055596.969,10018221.36,2258096.4,0,0,0,0,2495730.997,10018221.36,2055596.969,0
